protein1,protein2,weight
ACAN,ADAMTS5,0.972972972972973
KDR,SHC2,0.972972972972973
SMAD2,SMAD5,0.972972972972973
EIF4G1,EIF4G3,0.972972972972973
TRIM28,ZKSCAN7,0.972972972972973
MRPL12,RPS14,0.972972972972973
CD86,PDCD1LG2,0.972972972972973
ACADL,ACOX1,0.972972972972973
HSP90AB1,PIH1D1,0.972972972972973
CSNK2A1,HDAC2,0.972972972972973
MMP2,SRC,0.972972972972973
AMY2A,PYGL,0.972972972972973
NPLOC4,SVIP,0.972972972972973
CD79A,IGHD,0.972972972972973
MRPL33,MRPL50,0.972972972972973
BCL7A,PBRM1,0.972972972972973
EIF4EBP1,RPS6KB1,0.972972972972973
BSG,PPIL2,0.972972972972973
CHMP1B,VPS25,0.972972972972973
CBS,SHMT2,0.972972972972973
PPID,PTGES3,0.972972972972973
YWHAH,YWHAZ,0.972972972972973
BUD31,TFIP11,0.972972972972973
UBA1,UBE2T,0.972972972972973
NFKB1,PPARG,0.972972972972973
CD300C,MAP1LC3B,0.972972972972973
PPP2R1A,TIPRL,0.972972972972973
CAPZA1,RCSD1,0.972972972972973
BCL2,DDIT3,0.972972972972973
BIRC3,HTRA2,0.972972972972973
PPP1CC,PPP1R8,0.972972972972973
HMGCS1,IDI1,0.972972972972973
RAC1,VAV1,0.972972972972973
EGF,NRG1,0.972972972972973
ITGB1,NPNT,0.972972972972973
AOC1,DDC,0.972972972972973
MBL2,PTX3,0.972972972972973
CDA,TK2,0.972972972972973
ACE2,PRCP,0.972972972972973
CASP3,SPTAN1,0.972972972972973
APOA2,APOA5,0.972972972972973
CSF2,CXCL8,0.972972972972973
EGFR,SH3GL2,0.972972972972973
AMY2A,PYGB,0.972972972972973
ITLN1,LTF,0.972972972972973
BID,CASP2,0.972972972972973
PLXNB3,SEMA4A,0.972972972972973
IFNA21,IFNAR1,0.972972972972973
AMY2B,PYGB,0.972972972972973
CD274,CD86,0.972972972972973
IFNB1,RIPK1,0.972972972972973
ACTN1,PDLIM1,0.972972972972973
IFNA16,IFNAR1,0.972972972972973
PTPN6,ZAP70,0.972972972972973
IFNA7,IFNAR1,0.972972972972973
HNRNPM,ILF2,0.972972972972973
GTF2B,SSU72,0.972972972972973
EEF1B2,RPSA,0.972972972972973
AMY1A,PYGB,0.972972972972973
MDK,NOTCH2,0.972972972972973
MSH2,PCNA,0.972972972972973
PPIH,SNRPD3,0.972972972972973
CLINT1,CLTC,0.972972972972973
PPP1CC,PPP1R14A,0.972972972972973
ERCC1,XRCC6,0.972972972972973
IL2RA,IL7,0.972972972972973
APOA1,APOM,0.972972972972973
ITGA5,PTK2,0.972972972972973
ACVR1,BAMBI,0.972972972972973
IL6,STAT1,0.972972972972973
MB,TG,0.972972972972973
HP,MB,0.972972972972973
CFL1,CFL2,0.972972972972973
ALDOA,TALDO1,0.972972972972973
EPOR,STAT5B,0.972972972972973
F5,PROS1,0.972972972972973
CYP3A4,FMO3,0.972972972972973
BPNT1,PAPSS1,0.972972972972973
TADA3,WDR5,0.972972972972973
ALDOA,ENO3,0.972972972972973
ADSL,AMPD2,0.972972972972973
CCK,GRP,0.972972972972973
NGFR,RHOA,0.972972972972973
PTPN11,TXNIP,0.972972972972973
IFIT3,MX1,0.972972972972973
IFNA1,IRF3,0.972972972972973
DNAJB12,HSPA8,0.972972972972973
PRDX3,PRDX5,0.972972972972973
GOT2,LDHA,0.972972972972973
LILRB2,PTPN6,0.972972972972973
BECN1,DAPK2,0.972972972972973
ERCC4,XRCC6,0.972972972972973
ATG5,PIK3C3,0.972972972972973
SNAP29,VAMP4,0.972972972972973
ACAT2,OXCT1,0.972972972972973
AKT1,TCL1B,0.972972972972973
OCRL,RAB5A,0.972972972972973
AKT1S1,RPS6KB2,0.972972972972973
ACVR1B,SMAD2,0.972972972972973
GOT1,LDHA,0.972972972972973
STAMBPL1,UBB,0.972972972972973
IL10,IL2RA,0.972972972972973
LIN7A,MPP2,0.972972972972973
HRG,KNG1,0.972972972972973
CCL3,IL10,0.972972972972973
IGFBP1,IGFBP4,0.972972972972973
PA2G4,RPL12,0.972972972972973
AGER,DIAPH1,0.972972972972973
FLT3,GRB2,0.972972972972973
IFNB1,TBK1,0.972972972972973
GAPDHS,TALDO1,0.972972972972973
COX5B,SDHB,0.972972972972973
RBM17,SNRPA1,0.972972972972973
SELPLG,SPN,0.972972972972973
TREM1,TREML1,0.972972972972973
EIF2S1,EIF3J,0.972972972972973
RNF43,RSPO3,0.972972972972973
GLP1R,POMC,0.972972972972973
IFIH1,IFIT3,0.972972972972973
CDC42,RABIF,0.972972972972973
MRPL1,RPL5,0.972972972972973
STX17,STX6,0.972972972972973
STX1A,STX4,0.972972972972973
CXCL9,PF4V1,0.972972972972973
IFIH1,IRF3,0.972972972972973
ANAPC10,CCNA2,0.972972972972973
CD80,HAVCR2,0.972972972972973
GMPS,HPRT1,0.972972972972973
HHLA2,HHLA3,0.972972972972973
PARP1,TP53,0.972972972972973
CPLX1,CPLX3,0.972972972972973
IGSF11,VSIR,0.972972972972973
FANCL,USP1,0.972972972972973
GRB2,SH2B3,0.972972972972973
GDNF,NTRK3,0.972972972972973
DIABLO,HTRA2,0.972972972972973
DDOST,SSR1,0.972972972972973
PROC,SERPINF2,0.972972972972973
DDRGK1,UFM1,0.972972972972973
ITGB5,PTK2,0.972972972972973
PFKFB3,TIGAR,0.972972972972973
CGA,GPHA2,0.972972972972973
ID1,TCF4,0.972972972972973
CASP8,CYLD,0.972972972972973
MOB1B,STK3,0.972972972972973
A2M,HSPA5,0.972972972972973
CS,ME1,0.972972972972973
BECN1,MAP1LC3B,0.972972972972973
COX5B,COX7A2L,0.972972972972973
TG,TSHR,0.972972972972973
ALDH7A1,PDE4A,0.972972972972973
CDH5,CTNNA1,0.972972972972973
S100A10,S100A6,0.972972972972973
ACAT1,HMGCL,0.972972972972973
PIH1D2,RUVBL1,0.972972972972973
ADK,AK2,0.972972972972973
FKBP4,FKBP5,0.972972972972973
IL17RB,IL17RC,0.972972972972973
KLRK1,NCR3,0.972972972972973
GPC1,HBEGF,0.972972972972973
KDR,PTPN6,0.972972972972973
RIPK1,TNFRSF10A,0.971971971971972
CD200R1,CX3CL1,0.971971971971972
CACYBP,CTNNB1,0.971971971971972
IFNG,IL1A,0.971971971971972
H3C1,KDM1A,0.971971971971972
DIAPH1,PFN4,0.971971971971972
DHH,GAS1,0.971971971971972
FASLG,TNFSF10,0.971971971971972
ATP1B1,ATP1B2,0.971971971971972
NMRK1,QPRT,0.971971971971972
IL17F,IL22,0.971971971971972
IMPDH2,ITPA,0.971971971971972
GPI,PGK1,0.971971971971972
CXCL10,CXCL3,0.971971971971972
FLT1,NRP2,0.971971971971972
ANP32A,ELAVL1,0.971971971971972
HES1,NEUROG3,0.971971971971972
SUMF1,SUMF2,0.971971971971972
CD44,MMP2,0.971971971971972
ACTN2,CSRP3,0.971971971971972
ELL,SNF8,0.971971971971972
PSMA4,PSMG2,0.971971971971972
CCL5,CX3CL1,0.971971971971972
CD8A,IL2,0.971971971971972
CEBPB,CEBPG,0.971971971971972
CD28,CD4,0.971971971971972
SMS,SRM,0.971971971971972
MDH2,SDHB,0.971971971971972
KLHL12,PDCD6,0.971971971971972
BPGM,ENO2,0.971971971971972
CHEK1,CHEK2,0.971971971971972
FLT3LG,MRPL21,0.971971971971972
CHMP1B,CHMP4A,0.971971971971972
STX7,VAMP2,0.971971971971972
CPLX2,VAMP2,0.971971971971972
EFNA1,EPHA7,0.971971971971972
PIK3R1,PTPN6,0.971971971971972
JUN,MAPK11,0.971971971971972
ADSS2,GMPR,0.971971971971972
NUP35,SEC13,0.971971971971972
CAV2,SRC,0.971971971971972
CUL9,TP53,0.971971971971972
VEGFC,VEGFD,0.971971971971972
PIR,PIWIL1,0.971971971971972
CCT7,PFDN4,0.971971971971972
IGF1R,KRAS,0.971971971971972
IL10,IL1A,0.971971971971972
BAD,PRKACA,0.971971971971972
APRT,GUK1,0.971971971971972
GTF2F2,TAF12,0.971971971971972
DTYMK,TK1,0.971971971971972
RPS27A,USP2,0.971971971971972
TCP1,VBP1,0.971971971971972
KRAS,RASA1,0.971971971971972
EDN1,EDN3,0.971971971971972
IFNGR1,KRAS,0.971971971971972
GNPDA1,GNPNAT1,0.971971971971972
CD86,HAVCR2,0.971971971971972
FGFR3,KRAS,0.971971971971972
USP8,YWHAZ,0.971971971971972
IL3,THPO,0.971971971971972
PRIM1,RPA2,0.971971971971972
CARD9,RIPK2,0.971971971971972
KIT,STAT5B,0.971971971971972
GTF2A2,POLR2E,0.971971971971972
RASSF5,RRAS,0.971971971971972
FGF5,FGFR3,0.971971971971972
CHRD,GDF5,0.971971971971972
FLT3,STAT3,0.971971971971972
CTRB2,SERPINA3,0.971971971971972
IFNA1,ISG15,0.971971971971972
EIF1AX,RPS12,0.971971971971972
CX3CL1,FGF2,0.971971971971972
MNAT1,TBP,0.971971971971972
NMNAT1,NT5E,0.971971971971972
STAMBP,UBC,0.971971971971972
ACADVL,ACOX1,0.971971971971972
MRPL38,MRPL58,0.971971971971972
PLCG1,PRKCQ,0.971971971971972
HNRNPD,NCL,0.971971971971972
MRPL1,MRPL58,0.971971971971972
NAPA,VAMP4,0.971971971971972
MRPL2,RPL5,0.971971971971972
NAMPT,NMRK1,0.971971971971972
NCR2,NCR3LG1,0.971971971971972
DDX58,MX1,0.971971971971972
CHMP2A,HGS,0.971971971971972
UBA1,UBE2C,0.971971971971972
GZMA,GZMK,0.971971971971972
IL13,STAT6,0.971971971971972
DNM1,HCLS1,0.971971971971972
AHSG,SERPINA1,0.971971971971972
IL1R1,TOLLIP,0.971971971971972
CAMP,CTSG,0.971971971971972
BGLAP,IBSP,0.971971971971972
CDC42,PTEN,0.971971971971972
TPO,TSHR,0.971971971971972
CSNK2A1,PTEN,0.971971971971972
CD74,MRPL12,0.971971971971972
POLR2K,TBP,0.971971971971972
HNRNPC,HNRNPF,0.971971971971972
CETN2,ERCC1,0.971971971971972
HNRNPF,HNRNPK,0.971971971971972
AURKA,BUB1,0.971971971971972
CELA1,SERPINA1,0.971971971971972
MRPL21,RPS14,0.971971971971972
GCNT1,ST3GAL1,0.971971971971972
MRPS14,RPL5,0.971971971971972
FGF20,FGFR3,0.971971971971972
MICB,ULBP2,0.971971971971972
VEGFB,VEGFC,0.971971971971972
BMF,DYNLL2,0.971971971971972
MRPL1,RPL11,0.971971971971972
CYLD,UBB,0.971971971971972
CSF3,CXCL8,0.971971971971972
MRPS14,RPS3,0.971971971971972
MAP2K6,MAPK13,0.971971971971972
PLEKHA1,PTPN13,0.971971971971972
JUN,MAPK12,0.971971971971972
AKR1C3,CBR1,0.971971971971972
DIMT1,UTP6,0.971971971971972
CP,LTF,0.971971971971972
POMC,PRL,0.971971971971972
NDUFAF2,NDUFB8,0.971971971971972
ECHS1,GCDH,0.971971971971972
AHCYL1,BHMT2,0.970970970970971
YWHAG,YWHAH,0.970970970970971
NPM1,PARP1,0.970970970970971
MMP9,SRC,0.970970970970971
IL10,IL23R,0.970970970970971
EEF1B2,RPL30,0.970970970970971
RPS27A,UBE2S,0.970970970970971
STX10,STX7,0.970970970970971
LGR5,RSPO4,0.970970970970971
CD22,LYN,0.970970970970971
SELL,VCAM1,0.970970970970971
CRKL,FRS2,0.970970970970971
BCL11A,SMARCC1,0.970970970970971
SNX1,TBC1D5,0.970970970970971
BMPR2,INHBB,0.970970970970971
EIF3M,RPSA,0.970970970970971
CXCL8,IL10,0.970970970970971
FOXP3,IL2RA,0.970970970970971
G6PD,GAPDH,0.970970970970971
HSPA9,HSPE1,0.970970970970971
FLT3,STAT5A,0.970970970970971
MAPK3,NRAS,0.970970970970971
BCL2L1,PARK7,0.970970970970971
APOE,PLA2G7,0.970970970970971
NRAS,SRC,0.970970970970971
CFB,CFI,0.970970970970971
YWHAB,YWHAH,0.970970970970971
SNX5,TBC1D5,0.970970970970971
BHMT2,CBS,0.970970970970971
CCDC9,EIF4A3,0.970970970970971
IRF1,MDM2,0.970970970970971
MGAT2,MGAT3,0.970970970970971
ACVR1,SMAD2,0.970970970970971
CDH1,ERBB2,0.970970970970971
CSF2,TNF,0.970970970970971
BCL2L11,MAPK3,0.970970970970971
MAP2K1,MAPK14,0.970970970970971
FLT3,STAT5B,0.970970970970971
CCL20,CCL3,0.970970970970971
HSP90AB1,HSPD1,0.970970970970971
GRAP2,MAP4K1,0.970970970970971
UBE4A,UFD1,0.970970970970971
LPCAT2,PLA2G7,0.970970970970971
FGF18,HSPG2,0.970970970970971
ALDOC,FBP2,0.970970970970971
BARD1,UBC,0.970970970970971
BMP2,BMP4,0.970970970970971
MED1,THRA,0.970970970970971
ADK,NT5E,0.970970970970971
DYNLRB2,DYNLT3,0.970970970970971
IFNAR1,RACK1,0.970970970970971
GEMIN6,SNRPD3,0.970970970970971
MSN,SPN,0.970970970970971
RTF1,TCEA2,0.970970970970971
ALDOA,FBP2,0.970970970970971
AKT1,MTCP1,0.970970970970971
DCTD,TK2,0.970970970970971
MAP2K3,MAP3K3,0.970970970970971
B4GALT1,FUT5,0.970970970970971
FUT8,MGAT3,0.970970970970971
DYNLRB2,DYNLT1,0.970970970970971
GARS1,IARS1,0.970970970970971
ACAN,NCAN,0.970970970970971
IL18,IL6,0.970970970970971
CD226,ITGB2,0.970970970970971
ETS2,TP53,0.970970970970971
IDH1,MDH2,0.970970970970971
RPLP2,TPT1,0.970970970970971
DIAPH1,PFN1,0.970970970970971
CD3G,TRAT1,0.970970970970971
BMF,MCL1,0.970970970970971
GPX7,PRDX6,0.970970970970971
AHSG,FGG,0.970970970970971
FCN2,FCN3,0.970970970970971
GRAP2,SOS1,0.970970970970971
MAPK1,PLA2G4A,0.970970970970971
LYN,PTK2,0.970970970970971
MRPL50,MRPL58,0.970970970970971
CTNNB1,PTPN1,0.970970970970971
APOA2,CETP,0.970970970970971
GMPS,ITPA,0.970970970970971
S100A14,S100A16,0.970970970970971
CCL2,IL1B,0.970970970970971
NFASC,NRCAM,0.970970970970971
NAMPT,SIRT3,0.970970970970971
MRPL38,MRPL50,0.970970970970971
CRK,PDGFRA,0.970970970970971
CFTR,STUB1,0.970970970970971
NGDN,RPS14,0.970970970970971
COMMD10,COMMD8,0.970970970970971
HSP90AB1,RUVBL1,0.970970970970971
SCO2,SURF1,0.970970970970971
MNAT1,POLR2K,0.970970970970971
HNRNPM,HNRNPR,0.970970970970971
DDX46,MFAP1,0.970970970970971
PRKCA,RACK1,0.970970970970971
ACTN4,PDLIM1,0.970970970970971
IL19,IL24,0.970970970970971
SLC5A5,TG,0.970970970970971
RAD23B,UBC,0.970970970970971
PA2G4,RPSA,0.970970970970971
ALB,AMBP,0.970970970970971
SCFD1,USO1,0.970970970970971
UBA7,UBC,0.970970970970971
GOT2,LDHC,0.970970970970971
MRPL33,RPS14,0.970970970970971
CHRD,GDF7,0.970970970970971
AMBP,ITIH2,0.970970970970971
S100A12,TLR4,0.970970970970971
GLUD2,GOT1,0.970970970970971
APCS,FCGR2A,0.970970970970971
EGFR,RASA1,0.970970970970971
GP1BB,YWHAZ,0.970970970970971
HNRNPM,ILF3,0.970970970970971
EPOR,THPO,0.970970970970971
MRAS,SOS1,0.970970970970971
CD5,CD7,0.970970970970971
GHR,PRL,0.970970970970971
APRT,GDA,0.970970970970971
HMGB1,IL1B,0.970970970970971
MDM4,RPS27A,0.970970970970971
TIMM10,TIMM21,0.970970970970971
GSTA2,GSTA4,0.970970970970971
LPL,PNPLA2,0.970970970970971
CCNB2,PTTG1,0.970970970970971
PLCG2,SH3BP2,0.970970970970971
HSP90AA1,LRRK2,0.970970970970971
APAF1,CASP8,0.970970970970971
IL18BP,IL37,0.970970970970971
MAP1LC3A,NBR1,0.970970970970971
TRIM21,UBC,0.970970970970971
WBP2,YAP1,0.970970970970971
ELAVL1,HNRNPD,0.970970970970971
MAPT,TARDBP,0.970970970970971
QDPR,TPH1,0.970970970970971
UBB,USP8,0.970970970970971
AMY1A,PYGL,0.970970970970971
ALDOC,GAPDHS,0.970970970970971
POLH,RAD18,0.970970970970971
FZD4,WNT5B,0.970970970970971
HLA-C,SPART,0.970970970970971
ALDOB,GPI,0.970970970970971
CLEC4D,CLEC6A,0.970970970970971
CD4,IL4,0.970970970970971
FAS,PTPN13,0.970970970970971
AMY2B,PYGL,0.970970970970971
F11R,JAM3,0.970970970970971
AGXT,AMT,0.970970970970971
ASL,NOS3,0.96996996996997
STAT1,STAT5A,0.96996996996997
DCC,DSCAM,0.96996996996997
DNAJB1,HSPA1L,0.96996996996997
CCT7,PFDN2,0.96996996996997
ACVR2A,GDF7,0.96996996996997
ASNS,GOT1,0.96996996996997
CLEC4M,ITIH4,0.96996996996997
F11R,JAM2,0.96996996996997
NCBP2,SNRPB2,0.96996996996997
HSPA1A,HSPBP1,0.96996996996997
CNTN1,NRCAM,0.96996996996997
MAGED1,UNC5A,0.96996996996997
GTF2A2,TCEA1,0.96996996996997
PPIG,SYF2,0.96996996996997
NCF1,PRKCA,0.96996996996997
FLT3LG,MRPL33,0.96996996996997
APOA4,APOC1,0.96996996996997
APOC1,CLU,0.96996996996997
CYB5A,CYB5R4,0.96996996996997
LGALS9,PDCD1,0.96996996996997
ENPP3,ENTPD3,0.96996996996997
PRPF19,U2AF2,0.96996996996997
GADD45GIP1,MRPL38,0.96996996996997
FCER1A,SYK,0.96996996996997
MRPL28,MRPL55,0.96996996996997
UPP1,UPRT,0.96996996996997
UPP2,UPRT,0.96996996996997
PLXNB2,RRAS,0.96996996996997
S100A9,TLR4,0.96996996996997
CTNNA2,VCL,0.96996996996997
GNLY,SRRT,0.96996996996997
HSP90AB1,HSPA1A,0.96996996996997
ARAF,RRAS,0.96996996996997
GAS1,IHH,0.96996996996997
GBP1,STAT1,0.96996996996997
MYC,RUVBL1,0.96996996996997
IL21,IL2RG,0.96996996996997
CYLD,TBK1,0.96996996996997
PFN2,VASP,0.96996996996997
PPIH,SNRPG,0.96996996996997
CCN2,TGFB1,0.96996996996997
GADD45GIP1,MRPL21,0.96996996996997
IL2RG,STAT6,0.96996996996997
CIAO1,NUBP1,0.96996996996997
CD74,MRPL21,0.96996996996997
ASAH1,SMPD1,0.96996996996997
ACAA1,HSD17B10,0.96996996996997
RPL30,TPT1,0.96996996996997
STX1B,VAMP4,0.96996996996997
ME1,PKLR,0.96996996996997
FOXO3,YWHAB,0.96996996996997
GTF2A2,POLR2C,0.96996996996997
EIF4A3,PPIL1,0.96996996996997
ADGRL3,VEGFB,0.96996996996997
CD4,ICAM1,0.96996996996997
ALDH1A1,RDH12,0.96996996996997
RPN2,SSR1,0.96996996996997
KAT2A,KAT2B,0.96996996996997
AXIN2,DVL2,0.96996996996997
MAP2K3,MAPK13,0.96996996996997
CXCL2,NFKB1,0.96996996996997
AKT2,TSC2,0.96996996996997
AGXT,KAT2A,0.96996996996997
FLT3LG,MRPL12,0.96996996996997
NOTCH1,POSTN,0.96996996996997
PROC,SERPINA5,0.96996996996997
CRK,PTK2B,0.96996996996997
MRPL21,MRPL52,0.96996996996997
MAP2K3,MAPK12,0.96996996996997
ALDH1A1,RDH10,0.96996996996997
FN1,TGFB1,0.96996996996997
CASP10,CASP3,0.96996996996997
EIF3G,RPSA,0.96996996996997
CD36,FABP4,0.96996996996997
WIF1,WNT11,0.96996996996997
MRPL32,RPS14,0.96996996996997
AKT2,TCL1A,0.96996996996997
EGF,FGF2,0.96996996996997
NCAM1,NCAN,0.96996996996997
GFPT1,GNPDA1,0.96996996996997
MRPL28,MRPL50,0.96996996996997
NTRK2,NTRK3,0.96996996996997
HSP90B1,HSPA9,0.96996996996997
MAEA,WDR26,0.96996996996997
ANKRD2,TTN,0.96996996996997
ACTN2,TCAP,0.96996996996997
BTNL3,XDH,0.96996996996997
GRB2,NTRK2,0.96996996996997
DLG2,DLG4,0.96996996996997
EGFR,PTEN,0.96996996996997
JDP2,JUN,0.96996996996997
CAMLG,PPIB,0.96996996996997
GPI,PGAM1,0.96996996996997
CPA1,CPB1,0.96996996996997
POLI,RPS27A,0.96996996996997
NFE2L2,PARK7,0.96996996996997
MRPL34,MRPL38,0.96996996996997
MMP9,MPO,0.96996996996997
GFPT2,GNPDA1,0.96996996996997
HSPA8,TFRC,0.96996996996997
DHX8,EIF4A3,0.96996996996997
BTNL8,XDH,0.96996996996997
DAXX,PARK7,0.96996996996997
COPS5,PSMD7,0.96996996996997
CFTR,PDZK1,0.96996996996997
CHRD,TWSG1,0.96996996996997
EDF1,RPS10,0.96996996996997
PRKACA,SLC9A3R1,0.96996996996997
ACTN4,MICALL2,0.96996996996997
CTRB1,SERPINA3,0.96996996996997
FGF4,FGFR3,0.96996996996997
ELMO2,RAC2,0.96996996996997
KLRC4,KLRK1,0.96996996996997
AHCYL1,CTH,0.96996996996997
ACOX1,PEX5,0.96996996996997
PPID,STIP1,0.96996996996997
COL1A1,COL6A1,0.96996996996997
NCK1,SHC1,0.96996996996997
ALDOB,GAPDHS,0.96996996996997
MGAT3,MGAT4B,0.96996996996997
F7,F8,0.96996996996997
COX5A,COX7A2L,0.96996996996997
ENG,TGFBR1,0.96996996996997
CCT8,STIP1,0.96996996996997
ALDOA,PGAM4,0.96996996996997
ARHGAP5,SRC,0.96996996996997
HNRNPH1,ILF2,0.96996996996997
ATP5PB,UQCRB,0.96996996996997
RAB1A,TRAPPC5,0.96996996996997
RPP25L,RPP40,0.96996996996997
PPIH,PRPF6,0.96996996996997
F11,SERPINC1,0.96996996996997
CDH1,CTNNA2,0.96996996996997
RDX,SELPLG,0.96996996996997
TADA1,TADA2A,0.96996996996997
ERMAP,XDH,0.96996996996997
FGF19,FGFR2,0.96996996996997
CCT8,PFDN1,0.96996996996997
RBL1,RBL2,0.96996996996997
FN1,SPARC,0.96996996996997
CAND1,DCUN1D1,0.96996996996997
FOXO3,YWHAQ,0.96996996996997
B3GNT6,C1GALT1C1,0.96996996996997
FGF3,FGFBP1,0.968968968968969
EFNA4,EPHA3,0.968968968968969
CETP,PON1,0.968968968968969
MMP9,THBS2,0.968968968968969
PFKFB4,TIGAR,0.968968968968969
GPHN,NLGN2,0.968968968968969
MMP9,TGFB1,0.968968968968969
BIK,HRK,0.968968968968969
HNRNPC,TRA2B,0.968968968968969
LRP2,LTF,0.968968968968969
ACE2,BSG,0.968968968968969
IFNA2,IFNG,0.968968968968969
ACADSB,ACAT1,0.968968968968969
EIF4G2,EIF4G3,0.968968968968969
RPS27A,USP8,0.968968968968969
CD74,MRPL32,0.968968968968969
GPI,PGM5,0.968968968968969
PCK1,PKLR,0.968968968968969
CD99L2,PILRA,0.968968968968969
DDIT3,NFE2L2,0.968968968968969
FLT3LG,IL3,0.968968968968969
EIF5,RPS25,0.968968968968969
HMGCS2,OXCT1,0.968968968968969
IL1B,IL1RN,0.968968968968969
BUB1,MAD2L2,0.968968968968969
ERBB3,SRC,0.968968968968969
CCNB2,UBE2C,0.968968968968969
PRPF19,SNIP1,0.968968968968969
AHCY,AHCYL1,0.968968968968969
STUB1,TP53,0.968968968968969
GRN,SORT1,0.968968968968969
ACAT1,ACOX1,0.968968968968969
CDC42,MAPK14,0.968968968968969
GTF2A2,POLR2K,0.968968968968969
DDX39B,NCBP1,0.968968968968969
MAPK3,MAPT,0.968968968968969
FASLG,LUM,0.968968968968969
MAD2L1,NDC80,0.968968968968969
IL10,TNFRSF1A,0.968968968968969
IL10,STAT3,0.968968968968969
MGAT2,MGAT4B,0.968968968968969
FUT8,MGAT2,0.968968968968969
PRKAR1B,PRKAR2B,0.968968968968969
ALDH2,AOC2,0.968968968968969
MGAT3,MGAT4A,0.968968968968969
APOE,PLTP,0.968968968968969
LIMK1,PAK4,0.968968968968969
STX10,STX12,0.968968968968969
CYP2C19,CYP3A4,0.968968968968969
POLR2E,POLR2M,0.968968968968969
AGO3,TNRC6B,0.968968968968969
FLT3LG,MRPL32,0.968968968968969
SNAP25,STX12,0.968968968968969
KRAS,PIK3CG,0.968968968968969
CHMP4A,VPS25,0.968968968968969
CRP,IL6,0.968968968968969
PRPF6,SMNDC1,0.968968968968969
B4GALT1,FUT8,0.968968968968969
NFYA,ZHX1,0.968968968968969
UBE2A,UBE2V1,0.968968968968969
PDE4D,PRKACA,0.968968968968969
COL18A1,GPC1,0.968968968968969
ENO1,TALDO1,0.968968968968969
BCL2L11,BIK,0.968968968968969
NDUFA5,NDUFAF2,0.968968968968969
CD248,FN1,0.968968968968969
PPM1B,SLC3A1,0.968968968968969
AKR1A1,MIOX,0.968968968968969
UGDH,UGT1A1,0.968968968968969
MAP2K2,NRAS,0.968968968968969
ITGB5,SPP1,0.968968968968969
BPGM,PGAM2,0.968968968968969
IL15,IL7,0.968968968968969
RAF1,TSC22D3,0.968968968968969
EEF1G,RPS5,0.968968968968969
PSMG2,PSMG3,0.968968968968969
MNAT1,POLR2I,0.968968968968969
CYCS,SIRT5,0.968968968968969
GRB2,SHC4,0.968968968968969
NSF,SCFD1,0.968968968968969
DLD,SHMT2,0.968968968968969
SST,TAC1,0.968968968968969
PRKN,PSMD4,0.968968968968969
AUH,HADH,0.968968968968969
FLT3LG,THPO,0.968968968968969
NRP2,PGF,0.968968968968969
ERH,PRMT1,0.968968968968969
EGFR,PDGFB,0.968968968968969
ADSL,AK1,0.968968968968969
ANXA2,TLR4,0.968968968968969
HACL1,PEX5,0.968968968968969
MITF,SPI1,0.968968968968969
RYK,WNT3A,0.968968968968969
AHSA1,CDC37,0.968968968968969
CAND1,NEDD8,0.968968968968969
BTN3A2,XDH,0.968968968968969
BTN3A3,XDH,0.968968968968969
CDC42,EXOC7,0.968968968968969
CDC42,PRKCI,0.968968968968969
CD4,CD82,0.968968968968969
MYO6,UBC,0.968968968968969
EGF,INSR,0.968968968968969
JUN,MAPK13,0.968968968968969
CXCL2,IL1B,0.968968968968969
AK2,APRT,0.968968968968969
A2M,SERPINF2,0.968968968968969
AGO3,TARBP2,0.968968968968969
DCTN2,TPPP,0.968968968968969
ARAF,YWHAE,0.968968968968969
AMPD2,IMPDH1,0.968968968968969
ADH7,ALDH2,0.968968968968969
COL1A1,SPARC,0.968968968968969
STIP1,TCP1,0.968968968968969
RAB27B,SYTL1,0.968968968968969
CASP10,CASP7,0.968968968968969
EEF1B2,RPLP2,0.968968968968969
CCT8,PFDN2,0.968968968968969
PRIM1,RFC4,0.968968968968969
ERBB4,PLCG1,0.968968968968969
CAB39L,STK24,0.968968968968969
NAPB,NSF,0.968968968968969
DYNC1LI1,DYNLL2,0.968968968968969
CCL11,FGF2,0.968968968968969
AKT3,TSC2,0.968968968968969
TRIM28,ZNF382,0.968968968968969
CALR,HSP90AA1,0.968968968968969
ARNT,CREBBP,0.968968968968969
IFIT2,MX1,0.968968968968969
ALK,ALKAL2,0.968968968968969
FXN,SCLY,0.968968968968969
HNRNPK,KPNA2,0.968968968968969
APOE,SCARB1,0.968968968968969
IKBKG,PRKCQ,0.968968968968969
IKBKG,NFKBIE,0.968968968968969
HRAS,MAP2K2,0.968968968968969
TJP1,VASP,0.968968968968969
COASY,PANK3,0.968968968968969
TARDBP,UBQLN2,0.968968968968969
CD36,TLR1,0.968968968968969
A2M,KLK3,0.967967967967968
EPO,HIF1A,0.967967967967968
APOA2,PON1,0.967967967967968
BUB1,SPC25,0.967967967967968
CDH1,CDH3,0.967967967967968
GOT2,HPD,0.967967967967968
FOXO1,SGK1,0.967967967967968
DPP4,PRCP,0.967967967967968
MRPL28,MRPL32,0.967967967967968
FDPS,HMGCR,0.967967967967968
MAPK12,MAPKAPK3,0.967967967967968
DNAJB4,HSPA8,0.967967967967968
CRADD,FADD,0.967967967967968
PRKACA,RHOA,0.967967967967968
CGB3,LHCGR,0.967967967967968
BLNK,CBL,0.967967967967968
