Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CACNA1C,Voltage-dependent L-type calcium channel subunit alpha-1C,43303,408,0.76 [0.55-1.06],0.103349569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CACNA1H,Voltage-dependent T-type calcium channel subunit alpha-1H,43276,405,0.98 [0.83-1.16],0.827951502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CACNB1,Voltage-dependent L-type calcium channel subunit beta-1,43303,408,1.06 [0.90-1.23],0.491364279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CACNB3,Voltage-dependent L-type calcium channel subunit beta-3,44664,422,0.94 [0.85-1.06],0.31393346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CACYBP,Calcyclin-binding protein,43686,407,0.95 [0.87-1.05],0.306649608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CADPS,Calcium-dependent secretion activator 1,43517,414,1.08 [0.87-1.34],0.465612429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CALB1,Calbindin,51237,847,1.05 [0.91-1.20],0.524599239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CALB2,Calretinin,50268,833,0.61 [0.49-0.76],1.61E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CALCA,Calcitonin,50988,838,0.98 [0.89-1.08],0.633510689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CALCB,Calcitonin gene-related peptide 2,44637,419,1.08 [0.86-1.35],0.519826131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CALCOCO1,Calcium-binding and coiled-coil domain-containing protein 1,51750,852,1.03 [0.98-1.10],0.2523234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CALCOCO2,Calcium-binding and coiled-coil domain-containing protein 2,43557,401,0.97 [0.85-1.10],0.624267516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CALY,Neuron-specific vesicular protein calcyon,43276,405,0.92 [0.70-1.20],0.527095205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CAMKK1,Calcium/calmodulin-dependent protein kinase kinase 1,50261,834,0.89 [0.77-1.03],0.129725748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CAMLG,Guided entry of tail-anchored proteins factor CAMLG,43517,414,0.81 [0.67-0.99],0.034511702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CAMSAP1,Calmodulin-regulated spectrin-associated protein 1,44664,422,0.95 [0.87-1.03],0.224967271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CANT1,Soluble calcium-activated nucleotidase 1,51320,833,0.61 [0.45-0.83],0.001588583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CAPG,Macrophage-capping protein,51093,838,1.04 [0.94-1.15],0.463298606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CAPN3,Calpain-3,44535,422,0.82 [0.63-1.08],0.156784326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CAPS,Calcyphosin,44637,419,0.95 [0.86-1.06],0.377080943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CARHSP1,Calcium-regulated heat-stable protein 1,50268,833,1.03 [0.92-1.16],0.633425011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CASC3,Protein CASC3,43517,414,0.80 [0.63-1.02],0.069912109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CASP1,Caspase-1,50268,833,0.99 [0.91-1.09],0.908853992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CASP10,Caspase-10,50268,833,1.01 [0.92-1.10],0.907881427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CASP2,Caspase-2,51399,849,1.10 [1.00-1.20],0.041629796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CASP3,Caspase-3,52112,860,0.99 [0.92-1.06],0.774898861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CASP4,Caspase-4,43931,414,1.02 [0.96-1.08],0.53126411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CASP7,Caspase-7,44637,419,0.94 [0.84-1.05],0.27702397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CASP8,Caspase-8,51761,853,1.06 [0.97-1.17],0.210525717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CASP9,Caspase-9,43449,414,1.14 [0.98-1.32],0.082988066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CASQ2,Calsequestrin-2,43276,405,1.04 [0.85-1.26],0.708387067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CAT,Catalase,44118,415,1.02 [0.86-1.20],0.862892924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CBLIF,Cobalamin binding intrinsic factor,51400,847,0.90 [0.84-0.97],0.007918435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CBLN1,Cerebellin-1,43303,408,0.94 [0.84-1.05],0.268720068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CBLN4,Cerebellin-4,51912,855,0.92 [0.77-1.12],0.412285675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CBS,Cystathionine beta-synthase,43557,401,0.84 [0.69-1.03],0.099136644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CBX2,Chromobox protein homolog 2,43276,405,1.19 [0.97-1.46],0.096110719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CC2D1A,Coiled-coil and C2 domain-containing protein 1A,51073,838,1.00 [0.92-1.09],0.975141681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CCAR2,Cell cycle and apoptosis regulator protein 2,44637,419,1.00 [0.85-1.18],0.991513581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CCDC134,Coiled-coil domain-containing protein 134,44535,422,0.87 [0.71-1.06],0.153571819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CCDC28A,Coiled-coil domain-containing protein 28A,43517,414,0.92 [0.67-1.26],0.598315704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CCDC50,Coiled-coil domain-containing protein 50,44664,422,0.94 [0.83-1.07],0.324880257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CCDC80,Coiled-coil domain-containing protein 80,51476,849,0.95 [0.81-1.13],0.580839113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CCER2,Coiled-coil domain-containing glutamate-rich protein 2,43557,401,1.03 [0.88-1.20],0.725552175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CCL11,Eotaxin,52037,862,1.01 [0.86-1.19],0.87746515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CCL13,C-C motif chemokine 13,51952,861,0.99 [0.90-1.07],0.740431382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CCL14,C-C motif chemokine 14,51344,855,1.08 [0.93-1.25],0.329733536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CCL15,C-C motif chemokine 15,52112,860,1.08 [0.94-1.23],0.272728725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CCL16,C-C motif chemokine 16,52112,860,0.87 [0.78-0.97],0.01403621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CCL17,C-C motif chemokine 17,51359,851,1.02 [0.95-1.09],0.595552054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CCL18,C-C motif chemokine 18,50773,830,0.92 [0.84-1.02],0.100168997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CCL19,C-C motif chemokine 19,51926,855,1.05 [1.00-1.10],0.041947264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CCL2,C-C motif chemokine 2,50988,838,1.00 [0.90-1.13],0.933885175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CCL20,C-C motif chemokine 20,52037,862,0.99 [0.92-1.06],0.690913423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CCL21,C-C motif chemokine 21,51696,854,0.86 [0.73-1.00],0.053742626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CCL22,C-C motif chemokine 22,50945,846,0.93 [0.83-1.04],0.217395298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CCL23,C-C motif chemokine 23,51696,854,0.80 [0.69-0.93],0.003008753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CCL24,C-C motif chemokine 24,51612,853,0.99 [0.92-1.07],0.822360679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CCL25,C-C motif chemokine 25,52037,862,1.14 [1.01-1.30],0.032072854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CCL26,C-C motif chemokine 26,51399,849,1.01 [0.95-1.08],0.704904679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CCL27,C-C motif chemokine 27,51476,849,0.76 [0.69-0.84],5.46E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CCL28,C-C motif chemokine 28,51230,848,1.02 [0.92-1.13],0.741128539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CCL3,C-C motif chemokine 3,51399,849,1.07 [0.98-1.18],0.143165263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CCL4,C-C motif chemokine 4,51528,853,1.06 [0.97-1.15],0.172755608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CCL5,C-C motif chemokine 5,51681,860,0.98 [0.92-1.04],0.463168952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CCL7,C-C motif chemokine 7,51399,849,1.05 [0.94-1.16],0.388143307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CCL8,C-C motif chemokine 8,51838,854,0.96 [0.87-1.06],0.421478286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CCN1,CCN family member 1,51153,846,0.91 [0.84-0.99],0.022075122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CCN2,CCN family member 2,51443,851,1.03 [0.92-1.14],0.628589811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CCN3,CCN family member 3,52027,859,0.81 [0.67-0.97],0.020612969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CCN4,CCN family member 4,51912,855,0.97 [0.83-1.13],0.660976017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CCN5,CCN family member 5,51486,848,1.00 [0.86-1.18],0.964471849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CCND2,G1/S-specific cyclin-D2,43931,414,0.66 [0.55-0.80],1.72E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CCNE1,G1/S-specific cyclin-E1,43449,414,1.05 [0.96-1.15],0.309579307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CCS,Copper chaperone for superoxide dismutase,51073,838,1.00 [0.88-1.13],0.965457313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CCT5,T-complex protein 1 subunit epsilon,50261,834,1.04 [0.91-1.19],0.590566977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CD101,Immunoglobulin superfamily member 2,44554,423,1.01 [0.82-1.26],0.902349266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CD109,CD109 antigen,51486,848,0.82 [0.68-0.98],0.028248753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CD14,Monocyte differentiation antigen CD14,50435,841,0.94 [0.81-1.09],0.400043321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CD160,CD160 antigen,52037,862,1.01 [0.89-1.14],0.885813775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CD163,Scavenger receptor cysteine-rich type 1 protein M130,51681,860,1.00 [0.87-1.15],0.957435126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CD164,Sialomucin core protein 24,51486,848,0.97 [0.77-1.23],0.819417307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CD164L2,CD164 sialomucin-like 2 protein,43517,414,0.87 [0.67-1.14],0.31946112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CD177,CD177 antigen,51401,847,1.01 [0.96-1.06],0.747957018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CD1C,T-cell surface glycoprotein CD1c,51632,850,0.85 [0.67-1.08],0.1856447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,CD2,T-cell surface antigen CD2,43276,405,1.26 [1.03-1.53],0.022704515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
