,Gene,AnomalyScore
5464,LRRTM2,8.161907
3200,YY2,8.161321
5719,PLEK,8.158884
919,SF1,8.150726
5466,MGAT2,8.147733
1328,PSMD9,8.147521
3258,ALDH1B1,8.146045
2911,CYTH1,8.141179
6118,USP25,8.140507
6195,MCEE,8.134222
2236,ST13,8.133293
5170,LEAP2,8.126379
1054,BCL2L2,8.124561
4174,FNBP1,8.120404
5494,STX1B,8.114464
4271,FKBP1A,8.113825
158,MUC1,8.113269
4783,GPI,8.104316
4723,MED1,8.104098
3911,LPIN1,8.102744
639,KAT2B,8.099269
4202,MALT1,8.097741
405,RAG1,8.095087
4493,F7,8.094825
2142,IL11RA,8.093604
6325,WARS1,8.089275
1357,TBX3,8.086606
1700,FOLR2,8.0800495
1124,SF3B4,8.077643
253,CD58,8.075932
5675,PRDX4,8.075415
5518,BNIP3,8.072398
4409,IGFBP4,8.070397
5857,IRAG1,8.067904
3682,TCP10L3,8.050825
1116,ZFYVE27,8.046981
683,GSTO1,8.041943
1565,JCHAIN,8.039218
5973,TNFSF10,8.038808
3259,PALMD,8.033942
1934,NFKBIB,8.03062
77,SLC3A2,8.026993
1954,BCL2L11,8.026862
5992,SEC61G,8.024819
849,DPYSL5,8.019742
1094,FH,8.014694
1890,HIF1AN,8.01272
197,PCDHB2,8.011731
5921,BOLA2,8.011475
5478,ST8SIA3,8.00934
1361,DDX25,8.006085
668,EDF1,8.005834
2903,SULT1A1,8.004591
1051,SECTM1,8.000068
573,SHC4,7.9997315
404,DSG3,7.994172
4377,LCN2,7.992529
1542,AKT2,7.9897056
560,NLRP1,7.985214
2585,NUDT14,7.982251
755,XRCC1,7.975989
2294,CEBPA,7.9745736
4245,TOM1,7.9679785
5586,CEACAM7,7.962619
4008,SCFD1,7.962419
5511,KCNIP4,7.956075
331,GCH1,7.9488263
2472,UROD,7.9483776
2349,UBE2M,7.9475703
4653,MMEL1,7.94682
5715,DNAJC30,7.9428406
4465,GDF9,7.9407716
735,COMMD1,7.936513
4307,MRC1,7.928007
4055,SH3KBP1,7.9278874
997,CUBN,7.925523
2453,RPA2,7.9133544
3426,FZD4,7.9116917
4140,TIMM10,7.9045844
1662,NAGLU,7.9041877
3488,FCGR2B,7.904055
531,CXCL9,7.9015436
1021,MAP3K3,7.8997717
2807,PDCL,7.892727
702,PLEKHA1,7.8920183
4848,PLCG1,7.8907795
3745,EHD2,7.886147
3893,NCBP1,7.8825617
3389,PABPC5,7.8805943
1179,SSB,7.880543
1783,FADD,7.8788533
5856,POMGNT1,7.8777184
114,DHX9,7.8773184
1664,PRSS8,7.8770485
5873,LILRA4,7.87465
4479,IL2RA,7.874159
722,LAMTOR3,7.8732204
4846,KIRREL3,7.862549
6326,CTNNA2,7.8616314
1431,SEPHS1,7.860095
4780,PON1,7.858208
1841,SH3GLB1,7.857524
5701,QPCT,7.8505325
6017,MEF2C,7.8394065
1074,VTN,7.837213
3379,NDUFB10,7.8273096
4916,CAPG,7.827129
543,UBE2V1,7.8268194
4413,CFP,7.8228803
180,COL28A1,7.8156195
2707,IFT20,7.8101277
1147,PKD2,7.805002
4583,TBK1,7.8033795
2263,TBPL1,7.802473
5119,PAM,7.796517
50,STUB1,7.792146
1030,PPP1R8,7.787079
1077,HK2,7.7822227
5472,HBZ,7.7819147
991,SAP30,7.774939
1305,CD80,7.7661076
5069,CD27,7.764314
6058,NLGN2,7.761146
3569,TXNDC9,7.760073
1966,SIRT3,7.759069
2520,RBKS,7.755214
827,CSNK1G2,7.7548366
6024,MAP4K1,7.749481
1374,GNMT,7.7491918
1950,ETFA,7.748413
509,MUSK,7.745343
3128,UBE2N|UBE2V1,7.738056
5903,UST,7.7338376
3520,BLOC1S1,7.733646
3841,NME8,7.7290435
1455,RELT,7.728259
5187,SEMA4D,7.7243705
4750,KLKB1,7.723488
5720,SEC61B,7.721314
4909,EREG,7.719931
3918,ASCC2,7.7197247
5161,TUFT1,7.719495
1615,PMP2,7.7166266
2311,GSTM4,7.7163167
2437,PFDN2,7.7144547
3156,HLA-C,7.713786
4671,TEK,7.7057805
1699,CFHR2,7.702373
885,TAX1BP1,7.6946154
1047,GLP1R,7.6922975
978,DYNLT3,7.6843286
4049,AP1B1,7.68368
4895,GOT1,7.6799884
6121,ITPRIPL1,7.6759176
4310,CDH3,7.670711
1424,SHC2,7.669619
2798,SENP8,7.666797
3756,HNRNPLL,7.664853
1218,REXO2,7.66427
68,MCL1,7.6606045
3594,LCE3C,7.6533217
1806,GDF7,7.6531906
406,PMS2,7.6464057
1677,VIM,7.6419683
5122,CTRC,7.6400466
2914,NPM1,7.6390676
401,SAMHD1,7.6367435
1939,HMOX1,7.635246
5393,LOXL2,7.6291065
644,CDKN2D,7.6287284
327,KRT5,7.6281414
3606,DTNBP1,7.625873
1059,EFNB1,7.624589
501,TFR2,7.6221604
661,STAMBPL1,7.620746
2862,SGK1,7.6167746
1016,SORBS3,7.6113873
704,SIRT5,7.6107883
6270,YBX1,7.6021194
1408,UNC13A,7.601123
1713,XCL2,7.600841
3872,NUDT7,7.5904984
1640,COL9A1,7.5900493
111,KCNIP3,7.5778937
3562,SFRP5,7.5752306
1520,STAB1,7.573012
2755,CNTN3,7.568899
4527,CNTN4,7.5663486
6178,EDIL3,7.5654125
5939,PKDCC,7.561266
2595,FN1,7.5591326
1402,NCOA2,7.5591164
5070,TNFRSF11A,7.556258
1302,IL10,7.542902
5337,HSP90B1,7.542522
391,SELENOS,7.5413465
1707,ITGA2,7.537949
5004,ROBO3,7.5287333
3172,SNF8,7.526051
1465,IL1R2,7.52483
1774,HMGA1,7.5215735
1495,PTPN4,7.5211034
3432,FZD9,7.5188456
2380,TIMM8A,7.513397
5510,CD72,7.508758
5409,PRLH,7.4982157
2716,TNFRSF25,7.4971933
236,DSC1,7.4971313
1628,SERPINB4,7.4968505
1840,RCN3,7.4944334
4083,PRPF19,7.493536
5014,UNC5C,7.4918256
3256,KXD1,7.485992
6004,NEO1,7.484135
942,ACYP2,7.4822984
3575,PSMC3IP,7.4772577
1735,CD79A,7.4694715
2260,ARPC5,7.468271
87,NUCB1,7.4673367
785,IMPA2,7.460518
1604,ID1,7.4601316
3540,EBP,7.457495
5538,SYT11,7.4569597
767,UBE2C,7.4564123
5269,QSOX1,7.453904
5912,COX7A1,7.4505873
5714,PLAAT3,7.4500813
862,PRMT3,7.4498544
3451,TADA1,7.4481544
863,PIP4K2A,7.445425
5497,SNAPIN,7.444261
92,CHIT1,7.4248934
5927,CTSH,7.4238143
4511,NRP1,7.423768
4606,PDGFRB,7.418088
2470,MYL5,7.417893
1631,SQSTM1,7.4170394
2512,OLFM2,7.413916
608,TPK1,7.4068594
4200,KDM4C,7.4019833
5485,JPH1,7.3989735
2363,PRKAR2A,7.3985453
5063,PIM1,7.3982463
3110,HYAL4,7.3969173
4253,IGFBP3,7.394258
346,NAGPA,7.3935227
1301,C9,7.3919287
3861,TRIM72,7.391447
5442,KISS1,7.3846445
2068,SULT1C2,7.3843703
4037,IKBKB,7.3832316
4263,CASP5,7.3823876
1658,HS3ST1,7.381272
2596,FZD5,7.3803935
4694,TLR2,7.3786693
1721,RBP4,7.375329
4125,TBC1D24,7.3714805
4967,TYMS,7.3666973
2235,GLRX,7.3635592
1744,CDH8,7.362845
846,SNRPA,7.361695
1329,ARHGEF7,7.359622
3011,PRKAR1A,7.3534036
1886,MAP2K6,7.349297
70,STX12,7.3468413
1203,SSU72,7.3457923
673,THYN1,7.3404684
552,FZD10,7.339235
2041,SNRPD3,7.33821
6064,JTB,7.336867
5110,MFAP1,7.331365
5787,SURF1,7.330109
230,HNRNPDL,7.320174
5612,TRAT1,7.3194523
835,TST,7.318083
4928,PTK2,7.3164253
436,INPP5E,7.3148313
2289,PPP3R2,7.313201
2213,PYCR2,7.3127437
1505,MBD1,7.3112025
4798,CST2,7.3089066
1555,ICAM2,7.3043456
4199,SH3PXD2B,7.3040676
5278,VIT,7.3040586
2024,CRYBB1,7.3036056
1706,IL6R,7.303142
510,CDC25A,7.3016534
4112,ACSS2,7.299572
1982,VSIG4,7.299189
3537,FRG1,7.2986274
4887,GCG,7.298206
5084,HSP90AB1,7.296676
4748,PAPPA,7.2949376
2931,MRTO4,7.294031
2762,EIF1,7.2925844
1557,CDH1,7.2906346
3296,DCAF12,7.290504
2097,CASP8,7.2866616
2477,PPP1CC,7.2839622
1769,FLT1,7.281183
1548,PROK1,7.281014
873,DPYSL3,7.2808266
1233,CREBBP,7.2796726
842,SULT1B1,7.277321
2946,GPT2,7.2738404
4684,IL12RB2,7.270466
3750,DDI1,7.2641163
3145,SGSH,7.26404
27,CBFB,7.258705
5481,MRPL34,7.2555294
2444,GMPR,7.254797
2188,PURB,7.252984
1819,CALB2,7.249544
1120,CHRD,7.246602
660,UBE2T,7.2445593
6172,IL2RB,7.2436657
3223,DPP6,7.240871
1169,PIAS3,7.2398443
105,RNF43,7.233683
1359,RGS18,7.2316875
2738,RTN4RL1,7.2296715
2037,EMC8,7.229144
2276,ITLN1,7.229114
6292,PNPLA2,7.223052
5989,PAEP,7.220624
3228,ITGAM,7.217794
6124,CTRL,7.217787
3035,UBASH3A,7.2176447
3425,LRP6,7.212741
4254,IL6,7.212094
575,PTP4A2,7.210441
3449,GTF2A2,7.209663
3019,FDPS,7.2092886
1101,RELL1,7.200333
5849,SOSTDC1,7.200258
4760,PGD,7.196033
4526,CNTN2,7.194164
779,EDN2,7.1933618
1447,TRIL,7.1925836
365,TGM1,7.1886683
3381,NFE2L2,7.1886454
3245,SH2B3,7.1857004
5860,STOM,7.181194
2936,SNRPA1,7.1810837
389,LAIR1,7.1803493
4537,IGFBP7,7.175005
4450,CCL3,7.172326
3466,TRIM27,7.1721745
379,SELPLG,7.1716022
5,BECN1,7.170596
1716,OPCML,7.166514
1793,CDH17,7.165645
1378,S100A11,7.162705
3564,TPPP,7.1575828
6082,PENK,7.155564
5097,FGFR1,7.1520047
5525,VAMP8,7.140276
588,DDR1,7.1323986
6296,DHFR,7.1280837
1543,PLIN3,7.1260853
921,TARBP2,7.124483
2846,MRPL28,7.12424
5462,PCBD2,7.121563
2958,UPRT,7.121267
4877,GPC3,7.1199045
2433,ARF1,7.1185246
3497,LIPG,7.118006
1940,ACOT8,7.1137047
3474,ZBP1,7.113618
6310,PAICS,7.1089673
658,PAX4,7.1058373
472,DNER,7.102638
1578,RBBP4,7.102591
5066,FAS,7.1000986
4744,CXCL10,7.098184
3266,RBFOX1,7.096597
215,HABP4,7.0949087
184,ZPBP2,7.093878
1599,GAL,7.0872808
1549,C8G,7.0851793
4419,CD36,7.085046
4524,CD5L,7.0848927
6049,PRPF6,7.0836844
4610,SELE,7.079415
1419,CCL25,7.075969
4224,ROPN1B,7.07505
812,NAT1,7.074806
2233,FKBP3,7.0697527
276,GPD1,7.06602
116,PSMB6,7.065786
3483,MRPS14,7.06024
1347,KIF3A,7.0600524
1627,GM2A,7.0586886
3971,SNX11,7.0586553
165,TINF2,7.054287
5487,ST3GAL6,7.053833
3783,RBM41,7.0473075
838,GDA,7.0462937
3031,ILKAP,7.0451403
4889,CASP2,7.0422287
460,RUFY1,7.033362
2623,HEPH,7.031999
955,TESC,7.031305
5157,VASN,7.030551
2247,AMPD2,7.029418
3610,WTAP,7.0233192
4870,COL8A1,7.0221877
1984,CD46,7.0214767
3883,INPP4B,7.0202146
4177,NRDC,7.019831
4552,SERPINC1,7.018982
5600,ISCU,7.018756
2418,NDRG1,7.0155597
4776,NME2,7.0138125
441,RBM24,7.012632
1248,IFIT3,7.0056024
4898,HBA1|HBB,7.0014887
6278,NDE1,6.9986076
2780,UBL3,6.997927
1514,RCVRN,6.997319
503,ATP5MF,6.9916043
3047,TECTB,6.990612
4907,STC1,6.990208
2002,IDI1,6.987391
1219,PRIM1,6.9837217
2896,COASY,6.983614
1229,GTF2I,6.979083
171,STX4,6.9782524
5569,ITIH3,6.9778047
4985,LILRB1,6.9695277
2942,PHOSPHO2,6.960938
5176,PRCP,6.960046
1172,EMC4,6.957312
4339,POR,6.9554434
6156,AZGP1,6.95317
4441,CTLA4,6.9526963
5662,ITM2A,6.9479375
2442,PSMB2,6.940193
3175,POU2AF1,6.9337554
4230,PRKAR2B,6.9333963
3459,THAP2,6.930327
3830,EPN1,6.92369
1156,HMGCS1,6.9204636
5994,NRXN2,6.9179344
5773,MRPL32,6.913671
5750,LARGE1,6.9124594
1200,HTR6,6.9122477
3525,NDUFAF3,6.910237
2151,PRND,6.9064174
674,ARF6,6.9032683
190,HS3ST5,6.902893
1836,NMRK1,6.899017
4941,MMP14,6.892963
2482,COPE,6.8919725
5858,OXT,6.891037
1315,INHBA,6.888797
3566,RBPMS2,6.886017
6385,IRF6,6.8855324
2322,LIN7A,6.8825836
1145,CNOT1,6.878529
1626,PCSK2,6.877718
1686,MUC16,6.874057
4660,KDR,6.873594
922,HNRNPM,6.8665657
183,GNRH2,6.8640137
4629,CPB2,6.8636703
3530,EEF1AKMT1,6.8557596
847,USP21,6.849215
156,MSMB,6.8442745
542,MYB,6.8419266
178,LRP1,6.8418317
3816,S100A8,6.840683
4938,EIF4A3,6.840341
662,RAB39B,6.8402452
591,TREM2,6.837473
2385,PCLAF,6.8372245
219,FBLN1,6.831182
4469,LBP,6.8274083
2773,AUH,6.8176217
4935,GSTA3,6.815786
1135,NEURL4,6.8139906
1704,HTRA1,6.811614
118,PARP1,6.8092637
1533,RIDA,6.8069615
1932,STARD5,6.7915993
2378,MREG,6.791532
5051,CPE,6.7892904
3990,MTUS2,6.7821608
5635,ANK2,6.7810817
294,VWC2,6.7799063
2467,UBE2D3,6.7779465
4988,JAG2,6.7728653
1123,SPRN,6.766477
5450,WNT11,6.7636776
2283,SERPINB13,6.7633224
2779,NHP2,6.7607627
2343,RGS1,6.7584558
4236,FNTA,6.755893
2208,JMJD6,6.7547197
187,PSMD5,6.753975
249,PLA2R1,6.753612
4432,JAM3,6.751414
3367,KRT6A,6.748929
4405,CYP3A4,6.748727
6300,VAV3,6.746093
3837,MEF2D,6.745626
3391,PDHB,6.7413416
4438,SIGLEC9,6.7411065
844,PACSIN1,6.740915
3238,PDP1,6.735341
3665,NME7,6.7308073
4249,RAB11FIP3,6.7269173
4901,LYZ,6.725352
5146,SOD3,6.7207413
3946,HES6,6.720177
2871,CHMP6,6.716411
4278,NEUROG3,6.71591
4135,EFNB3,6.710378
442,PRPS1,6.7103434
621,EGFLAM,6.710229
1421,ITSN1,6.708822
4252,CFI,6.707247
5907,NGFR,6.7054014
1064,FSTL1,6.7028136
5644,VAMP4,6.695237
6074,TIMM21,6.6921506
5876,TNFRSF11B,6.6893663
3174,SSR2,6.6865525
4611,STK16,6.6807504
993,SYTL1,6.679251
2797,MAP1LC3B2,6.678385
2997,TRIM5,6.6746464
3729,HYPK,6.674298
5245,RLN3,6.673751
273,LRRK2,6.6735253
3233,NOS3,6.670416
1517,GDF11,6.6682835
4917,CA1,6.6626115
3792,SHKBP1,6.6578927
2612,VCAM1,6.655948
5217,EHMT2,6.6556087
1269,HSPA6,6.654199
240,OSMR,6.6539173
5555,MRPL52,6.653662
626,CCM2,6.652413
914,PPP1R3B,6.6511364
5758,VTI1A,6.649677
3021,AGO2,6.64915
4677,CKB,6.6477976
2297,GREM1,6.645792
20,HNF4A,6.6431184
6221,RAB27A,6.6423016
3402,PSMB7,6.6418447
1978,CA5B,6.640198
6169,TAC1,6.6360097
4048,KIF3B,6.6357393
339,CD93,6.634903
3020,TSHR,6.6305976
4563,CHRDL1,6.629991
3462,TIPIN,6.6258945
6305,DCK,6.6257715
5645,SERPINF1,6.620899
1294,SERPING1,6.619945
636,RUVBL1,6.6187863
6213,ASGR2,6.6184645
144,ST3GAL5,6.616377
1155,HCAR2,6.6137033
5240,SST,6.6099343
4428,IL1R1,6.6096787
2593,ALDH1A2,6.609287
864,KPNA4,6.598939
195,SLITRK1,6.598795
5003,PRLR,6.5959277
495,CD38,6.5926285
4494,C2,6.5888305
258,RPLP2,6.5876775
4755,CFH,6.5857406
6271,EZR,6.5849667
1104,CD300C,6.5829663
3059,RPL26L1,6.582512
5251,PIP,6.5816774
4133,STAC,6.5761905
4615,NTRK1,6.5740905
6327,ESRRA,6.5735826
4996,MICB,6.572892
896,NISCH,6.5721717
3361,IP6K2,6.569603
3836,MPP2,6.568924
4674,CDH2,6.568878
1076,LDLR,6.5623484
6129,ACP2,6.561534
6105,CCL26,6.553351
1429,ULBP1,6.5497117
2337,TGM4,6.5478797
2650,OAT,6.5467668
5763,CDH7,6.5428805
4051,METTL3,6.5425925
4548,THBS4,6.540579
3790,DLST,6.5401816
5312,POMGNT2,6.537992
3316,GALNT9,6.5377097
4873,SELL,6.5297074
1690,CR2,6.5287147
4983,IL23R,6.5280633
3722,NAPEPLD,6.519679
5706,NCR3LG1,6.5183616
3463,TMA16,6.5180035
1563,S100A5,6.515674
5711,ROR2,6.5131025
2902,SERPINB9,6.510722
5222,HAAO,6.5095224
5262,TP53,6.508878
5999,CCPG1,6.496811
3477,ZDHHC4,6.495773
4926,ESD,6.4952636
5755,GLTPD2,6.4948497
1225,SNU13,6.494816
1893,PNMT,6.4863434
3363,KRT14,6.4861403
3203,CCL27,6.4858975
3146,GALNT14,6.4851146
6261,GHDC,6.4850054
5085,IL17RC,6.4824557
377,XDH,6.481044
4273,HEXA,6.478635
4206,LIMK1,6.4769454
4530,FCGR2A,6.472826
3242,PRKRA,6.4652014
3753,PIPOX,6.46221
3124,USP1,6.462136
3931,LGSN,6.4620934
62,PDGFRA,6.461098
3944,NTAQ1,6.459835
5954,BCL10,6.4581833
3358,TCF12,6.4545417
4418,BMP7,6.453831
6329,THOC1,6.448942
5183,SPINK6,6.4459763
4437,PTPN1,6.4421344
2776,PDCL3,6.440882
71,SCARA5,6.440848
4317,NTRK3,6.43784
4036,AP2B1,6.433127
2790,ADAT2,6.433045
3647,MAD2L2,6.4320717
4426,CXCL1,6.427946
1004,RLBP1,6.425788
2632,COL9A3,6.424639
1885,STATH,6.4227233
6029,VTI1B,6.421804
3960,MAST4,6.4208727
908,GRID2,6.42001
3394,PHF6,6.416895
4655,CDC42BPB,6.4106245
388,DCAF5,6.407621
2108,NAE1,6.4037156
1693,RNASE3,6.402758
1527,SUMO3,6.3980083
1331,MCF2L,6.39704
4628,LTA|LTB,6.3947163
1537,RNF8,6.3927555
1702,GC,6.3921466
3284,CDK20,6.392128
5282,SCGB3A1,6.3897457
5507,COL25A1,6.38812
3333,PITX3,6.3861966
90,IL31,6.3821964
1847,MSRB2,6.3811855
5851,SPINK1,6.3808455
4787,RBM39,6.376222
1748,CFHR5,6.3753996
916,NUP98,6.374299
6335,RAP2A,6.3701735
4389,PRKCD,6.3697824
1381,EVPL,6.3649564
1309,CTSC,6.3613853
1214,UAP1,6.361116
3212,WNT16,6.360789
1394,TIAM1,6.358164
3294,PLAT,6.3579607
5946,GALNT11,6.3547792
3003,CASP10,6.3490634
3420,CD209,6.344461
4667,SCT,6.3439913
2431,DDT,6.342903
989,PARP11,6.340733
5607,RNASE1,6.3298388
4412,MMP8,6.3296356
2519,UPP1,6.329254
3311,FOXO4,6.3289094
1798,LY75,6.324912
3926,THAP4,6.3206625
3401,PPTC7,6.318724
2795,FUBP1,6.318154
3107,SENP1,6.316499
5338,GPHA2,6.304001
4863,IL3,6.3010893
1001,NR3C2,6.300849
1975,RAB3A,6.3003616
744,CDKN2C,6.2975388
1863,TLR3,6.2949157
2531,HMGA2,6.284922
2285,EIF4EBP3,6.2845774
1010,UQCRB,6.2843137
1443,C1QC,6.282027
516,POLE2,6.2785306
5292,ST3GAL2,6.278008
6167,ERP27,6.272528
4571,KLK7,6.2716064
3119,OGT,6.261493
4168,CYBC1,6.2592497
5666,SH3BP2,6.2577457
5468,MICU3,6.2572727
2175,TCL1B,6.254092
6219,CXCL17,6.25146
274,BGLAP,6.25108
1434,IGFBP6,6.243578
1260,ANGPT2,6.242783
2093,RGS4,6.2425475
1554,LTF,6.232076
5125,KLRC1,6.2285047
4381,RPS27A,6.2235227
3302,ETV4,6.2224617
5892,PTPRU,6.2194505
4297,ERBB3,6.2192893
5814,NRG2,6.218919
5306,NPNT,6.21529
4203,DYRK1A,6.2144847
5887,SIGIRR,6.209996
3012,BLOC1S6,6.2082276
2540,PLXND1,6.2065177
3314,GABPB1,6.203278
2028,CAB39,6.2028265
5670,CHST11,6.2013607
3218,PIK3AP1,6.198324
5760,ITIH1,6.196382
2212,SNX5,6.1940646
5271,ADPGK,6.1936626
5108,HPSE,6.193254
5308,CD79B,6.192206
1963,YEATS4,6.1918235
2030,WDR5,6.1822715
3313,FUNDC1,6.182142
3378,NAA20,6.1807704
1811,JUP,6.175857
5027,PCSK9,6.1751847
3034,BMF,6.1715403
5230,GRP,6.167977
321,MTMR1,6.1649446
1323,CCL8,6.1556516
2571,PTH,6.1549897
6068,SLC27A2,6.1548944
1968,HPD,6.1512713
1997,GMNN,6.1511703
1671,PGAM2,6.1456523
4555,BMP1,6.145646
1206,HDLBP,6.1397414
5178,SBSN,6.139621
5091,SLAMF7,6.132847
6066,TFIP11,6.128653
2863,TULP1,6.1251955
1576,GBP1,6.1249995
4734,BPI,6.1242723
2806,LSM3,6.1201587
4759,YWHAG,6.118312
3622,DPH5,6.1150217
6280,RNF149,6.1140194
500,MYSM1,6.1119533
4334,AIMP1,6.108688
736,STAP1,6.10587
3845,UTP6,6.104437
4301,HSP90AA1,6.101752
3640,KHDRBS2,6.096846
1292,SPARCL1,6.0963664
2105,AKR7A3,6.0956903
2753,NECTIN1,6.0935955
4932,GP1BA,6.091199
6088,JPH3,6.089215
5067,LEPR,6.0886536
4520,C1R,6.086338
2953,DHODH,6.085989
1522,NCMAP,6.0810094
4581,REN,6.0755634
882,TOX3,6.0751233
1149,ARFIP1,6.0731506
5456,NTN1,6.072931
1853,ENPP2,6.072378
5884,SLTM,6.065552
5782,LGI3,6.0651555
5200,PAPPA2,6.0607185
1008,PPARA,6.0584164
5833,CISD2,6.058416
3254,COL5A1,6.0581865
1442,PSMA4,6.0568204
4874,TNFRSF10A,6.054578
4502,IDS,6.051345
2369,MRPL2,6.041695
4328,PSPN,6.038785
5095,SNRPF,6.0377045
10,POLH,6.0357637
25,BIRC2,6.0353947
1832,RAB3B,6.0334063
3086,CDH20,6.0328283
1300,PRTN3,6.0325317
3162,MOB3B,6.03076
3081,MACROH2A1,6.0303597
3030,TPH1,6.0268574
1949,AK4,6.022498
6149,FKBP7,6.020609
95,ANTXR1,6.0185905
1595,FABP2,6.017817
2603,MNDA,6.0177703
4066,MPP5,6.0136366
4101,UGT2B15,6.0131936
1884,CALCB,6.0110865
4620,CAT,6.0094543
1501,EIF2AK4,6.006005
5059,TNFSF14,6.001327
5943,CAV3,6.0002165
1137,HDHD2,5.9953027
3243,RASSF2,5.9929886
2118,ASPA,5.9929414
4480,TNFRSF1B,5.988647
761,SMTN,5.9868245
2886,RWDD4,5.9851527
3088,DCC,5.9851294
5624,GORAB,5.9824967
3114,GALNS,5.9802246
2267,RABIF,5.9799485
196,DKK3,5.976902
5824,TMEM70,5.9736247
2351,SH3BGRL2,5.973147
4137,CCL21,5.97118
4338,MICA,5.968375
1334,UGP2,5.9674616
4732,FGF4,5.9674234
2568,CRH,5.963977
3286,TIMP1,5.9630213
1388,PIK3C2A,5.961782
465,PQBP1,5.9610047
1959,MX1,5.9601245
890,NDC80,5.959194
1266,FGFR3,5.9565606
6045,SLC3A1,5.951244
2124,MORF4L1,5.9507284
5657,CLEC4D,5.9449844
4962,FAP,5.9433165
381,GSTT2B,5.941853
3671,PHYHIPL,5.937265
2948,CHMP4A,5.935409
4565,CTSV,5.9313326
6041,ATP1B3,5.9300885
1321,IL3RA,5.9289536
3801,ITGB1,5.9287033
5093,SPOCK2,5.9275613
5949,NMU,5.923693
5019,PSME3,5.9166307
3532,CRYBB3,5.909848
5252,ERP44,5.908199
3751,KLHL2,5.908149
98,TFF2,5.907395
5893,DEFB110,5.9050846
4757,TF,5.902941
57,OAS1,5.8989563
5641,NBR1,5.8972588
52,PIAS4,5.8950014
3653,EIF3M,5.890352
5104,GREM2,5.8900533
6023,CSPG4,5.8815465
4020,MVP,5.8798676
3710,GHRL,5.8782077
5394,TMED10,5.8769245
5232,HSPA8,5.8636193
4556,CAMK2A,5.863499
4519,TGFBI,5.862495
1772,MZB1,5.857959
6110,HMGN1,5.857696
6202,TPSAB1,5.854089
5761,MICOS10,5.8477564
2383,MPPED2,5.847037
717,BPTF,5.8463655
1212,U2AF2,5.841505
1026,PRKN,5.8401146
3348,KDM1A,5.8391438
4706,ACP1,5.83769
1920,SYT4,5.836386
1846,MAGOHB,5.8352337
5026,HMGCR,5.8332534
6359,ATP1B4,5.8321614
4143,ATP6V1F,5.8319554
969,TMOD2,5.8314295
2577,CPA1,5.8254514
1313,IFNL1,5.8246403
1745,FLT4,5.817456
5314,PTPRR,5.8151846
264,AHSG,5.8106484
3230,LPL,5.8106065
1479,CDKN3,5.8019004
2592,ACO1,5.8011827
6343,MCM6,5.796318
1583,IFNG,5.7833138
2010,UBE2S,5.7821245
3211,WNT10B,5.7816076
2318,CAMK4,5.7811847
3736,PSENEN,5.7791967
4068,ANGPT4,5.77862
4470,F10,5.7729564
120,CD99L2,5.7721004
3244,TRIM21,5.770875
5958,PCDH10,5.7696204
5582,NFASC,5.767913
1775,STAT5B,5.7666297
3006,TXNL1,5.7581925
1271,INHBB,5.757932
541,ITGAL,5.756751
2882,LRP2BP,5.7553644
2546,CEBPG,5.7534704
3295,DCAF11,5.751595
2736,GRIK2,5.751392
2970,SKA1,5.7510815
2838,BCDIN3D,5.749114
55,IRF1,5.748451
1792,SDC3,5.7474113
4012,GPHN,5.746182
2511,NNMT,5.740411
4601,CXCL8,5.7375593
2686,PGPEP1,5.736897
1170,RAB35,5.7333775
2392,POLE3,5.727434
4353,FGF20,5.7262597
3877,MOCOS,5.7258544
4842,FUT5,5.722762
201,UCN3,5.713912
1413,TNFSF11,5.7099333
1687,CNN1,5.7082524
1060,SNAP25,5.70499
2968,POLR3K,5.70319
2803,MSRB1,5.7022643
469,RHPN2,5.6998816
4378,MMP17,5.6881146
5966,PSAPL1,5.68632
619,RPIA,5.6829386
4471,PGF,5.6799617
895,PLS1,5.6792483
4182,HDAC4,5.678554
6232,EDDM3A,5.6758356
4457,VWF,5.672275
2044,SDSL,5.670887
3330,MITF,5.668924
4179,CDH23,5.6683035
6264,MSH2,5.6606703
5339,LONP1,5.6581707
1906,ADPRS,5.6575284
3715,EXD1,5.6563935
3235,NUCB2,5.6562023
1776,MYOC,5.6548896
4108,TRIM28,5.652776
2441,SRGN,5.6523013
6009,GNPDA1,5.651157
3797,C5,5.645388
4444,CAST,5.6449795
3796,TRMT61B,5.6438713
1007,RAB18,5.6403327
4058,TIAM2,5.636038
2281,TG,5.635541
4000,COPS5,5.634513
1297,SEC22A,5.6317887
5998,SMIM9,5.6294236
1379,DHX58,5.629344
5448,RLN2,5.6290994
5400,NPTX2,5.6270533
705,SETMAR,5.6263433
4953,PRDX5,5.626293
2967,NRBF2,5.62586
433,TENM4,5.6205726
833,GABARAPL1,5.6181345
5996,ADAM17,5.6119123
121,TSPEAR,5.6082354
2624,CREB1,5.607528
2820,NMRK2,5.6045213
5753,KIR3DL3,5.598871
307,TBX22,5.5811896
974,ARPP21,5.580575
4272,FTH1,5.577299
1761,TIGIT,5.57574
5145,TRH,5.5740466
1981,CD160,5.574045
5162,CRISPLD2,5.5740085
4325,MIA,5.572021
5847,CHGB,5.5688233
1048,BTC,5.564984
534,CPNE1,5.560825
4380,TIE1,5.556168
1515,TRAPPC3,5.5558157
1926,DCUN1D1,5.5556536
3127,USP10,5.5528555
3092,LRFN3,5.5513806
